,Review_Text,Rating,Review_Text_lemma,Review_Text_stem,Cleaned_Reviews,Review_Text_postag,Sentiment_Polarity,Sentiment_Category
37,"['service', 'okay', 'nothing', 'exceptional']",2,"['service', 'okay', 'nothing', 'exceptional']","['servic', 'okay', 'noth', 'except']",service okay nothing exceptional,"[('service', 'NN'), ('okay', 'MD'), ('nothing', 'NN'), ('exceptional', 'JJ')]",0.583333333,1
38,"['staff', 'caring', 'attentive', 'couldnt', 'happier']",5,"['staff', 'caring', 'attentive', 'couldnt', 'happier']","['staff', 'care', 'attent', 'couldnt', 'happier']",staff caring attentive couldnt happier,"[('staff', 'NN'), ('caring', 'VBG'), ('attentive', 'JJ'), ('couldnt', 'NN'), ('happier', 'NN')]",0.4,1
39,"['mixed', 'feelings', 'experience']",2,"['mixed', 'feeling', 'experience']","['mix', 'feel', 'experi']",mixed feeling experience,"[('mixed', 'JJ'), ('feelings', 'NNS'), ('experience', 'NN')]",0,0
40,"['healthcare', 'provider', 'excellent', 'great', 'experience']",4,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
41,"['mixed', 'feelings', 'experience']",2,"['mixed', 'feeling', 'experience']","['mix', 'feel', 'experi']",mixed feeling experience,"[('mixed', 'JJ'), ('feelings', 'NNS'), ('experience', 'NN')]",0,0
42,"['mixed', 'feelings', 'experience']",2,"['mixed', 'feeling', 'experience']","['mix', 'feel', 'experi']",mixed feeling experience,"[('mixed', 'JJ'), ('feelings', 'NNS'), ('experience', 'NN')]",0,0
43,"['healthcare', 'provider', 'excellent', 'great', 'experience']",4,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
44,"['review', 'available']",2,"['review', 'available']","['review', 'avail']",review available,"[('review', 'NN'), ('available', 'JJ')]",0.4,1
45,"['service', 'okay', 'nothing', 'exceptional']",3,"['service', 'okay', 'nothing', 'exceptional']","['servic', 'okay', 'noth', 'except']",service okay nothing exceptional,"[('service', 'NN'), ('okay', 'MD'), ('nothing', 'NN'), ('exceptional', 'JJ')]",0.583333333,1
46,"['review', 'available']",3,"['review', 'available']","['review', 'avail']",review available,"[('review', 'NN'), ('available', 'JJ')]",0.4,1
47,"['healthcare', 'provider', 'excellent', 'great', 'experience']",2,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
48,"['service', 'disappointing', 'wont', 'coming', 'back']",5,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
49,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']",4,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']","['bad', 'experi', 'healthcar', 'provid', 'avoid', 'possibl']",bad experience healthcare provider avoid possible,"[('bad', 'JJ'), ('experience', 'NN'), ('healthcare', 'NN'), ('provider', 'NN'), ('avoid', 'NN'), ('possible', 'JJ')]",-0.35,-1
50,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']",3,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']","['bad', 'experi', 'healthcar', 'provid', 'avoid', 'possibl']",bad experience healthcare provider avoid possible,"[('bad', 'JJ'), ('experience', 'NN'), ('healthcare', 'NN'), ('provider', 'NN'), ('avoid', 'NN'), ('possible', 'JJ')]",-0.35,-1
51,"['healthcare', 'provider', 'excellent', 'great', 'experience']",5,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
52,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']",2,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']","['bad', 'experi', 'healthcar', 'provid', 'avoid', 'possibl']",bad experience healthcare provider avoid possible,"[('bad', 'JJ'), ('experience', 'NN'), ('healthcare', 'NN'), ('provider', 'NN'), ('avoid', 'NN'), ('possible', 'JJ')]",-0.35,-1
53,"['healthcare', 'provider', 'excellent', 'great', 'experience']",5,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
54,"['service', 'disappointing', 'wont', 'coming', 'back']",1,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
55,"['average', 'experience', 'neither', 'good', 'bad']",3,"['average', 'experience', 'neither', 'good', 'bad']","['averag', 'experi', 'neither', 'good', 'bad']",average experience neither good bad,"[('average', 'JJ'), ('experience', 'NN'), ('neither', 'RB'), ('good', 'JJ'), ('bad', 'JJ')]",-0.05,-1
56,"['average', 'experience', 'neither', 'good', 'bad']",2,"['average', 'experience', 'neither', 'good', 'bad']","['averag', 'experi', 'neither', 'good', 'bad']",average experience neither good bad,"[('average', 'JJ'), ('experience', 'NN'), ('neither', 'RB'), ('good', 'JJ'), ('bad', 'JJ')]",-0.05,-1
57,"['healthcare', 'provider', 'excellent', 'great', 'experience']",4,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
58,"['average', 'experience', 'neither', 'good', 'bad']",2,"['average', 'experience', 'neither', 'good', 'bad']","['averag', 'experi', 'neither', 'good', 'bad']",average experience neither good bad,"[('average', 'JJ'), ('experience', 'NN'), ('neither', 'RB'), ('good', 'JJ'), ('bad', 'JJ')]",-0.05,-1
59,"['mixed', 'feelings', 'experience']",4,"['mixed', 'feeling', 'experience']","['mix', 'feel', 'experi']",mixed feeling experience,"[('mixed', 'JJ'), ('feelings', 'NNS'), ('experience', 'NN')]",0,0
60,"['service', 'disappointing', 'wont', 'coming', 'back']",2,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
61,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']",5,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']","['im', 'satisfi', 'servic', 'receiv', 'highli', 'recommend']",im satisfied service received highly recommended,"[('im', 'RB'), ('satisfied', 'JJ'), ('service', 'NN'), ('received', 'VBD'), ('highly', 'RB'), ('recommended', 'JJ')]",0.33,1
62,"['service', 'disappointing', 'wont', 'coming', 'back']",5,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
63,"['service', 'disappointing', 'wont', 'coming', 'back']",5,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
64,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']",1,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']","['bad', 'experi', 'healthcar', 'provid', 'avoid', 'possibl']",bad experience healthcare provider avoid possible,"[('bad', 'JJ'), ('experience', 'NN'), ('healthcare', 'NN'), ('provider', 'NN'), ('avoid', 'NN'), ('possible', 'JJ')]",-0.35,-1
65,"['service', 'disappointing', 'wont', 'coming', 'back']",4,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
66,"['experience', 'terrible', 'would', 'recommend', 'provider']",5,"['experience', 'terrible', 'would', 'recommend', 'provider']","['experi', 'terribl', 'would', 'recommend', 'provid']",experience terrible would recommend provider,"[('experience', 'NN'), ('terrible', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('provider', 'NN')]",-1,-1
67,"['experience', 'terrible', 'would', 'recommend', 'provider']",1,"['experience', 'terrible', 'would', 'recommend', 'provider']","['experi', 'terribl', 'would', 'recommend', 'provid']",experience terrible would recommend provider,"[('experience', 'NN'), ('terrible', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('provider', 'NN')]",-1,-1
68,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']",4,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']","['bad', 'experi', 'healthcar', 'provid', 'avoid', 'possibl']",bad experience healthcare provider avoid possible,"[('bad', 'JJ'), ('experience', 'NN'), ('healthcare', 'NN'), ('provider', 'NN'), ('avoid', 'NN'), ('possible', 'JJ')]",-0.35,-1
69,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']",2,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']","['im', 'satisfi', 'servic', 'receiv', 'highli', 'recommend']",im satisfied service received highly recommended,"[('im', 'RB'), ('satisfied', 'JJ'), ('service', 'NN'), ('received', 'VBD'), ('highly', 'RB'), ('recommended', 'JJ')]",0.33,1
70,"['service', 'okay', 'nothing', 'exceptional']",1,"['service', 'okay', 'nothing', 'exceptional']","['servic', 'okay', 'noth', 'except']",service okay nothing exceptional,"[('service', 'NN'), ('okay', 'MD'), ('nothing', 'NN'), ('exceptional', 'JJ')]",0.583333333,1
71,"['review', 'available']",3,"['review', 'available']","['review', 'avail']",review available,"[('review', 'NN'), ('available', 'JJ')]",0.4,1
72,"['service', 'disappointing', 'wont', 'coming', 'back']",1,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
73,"['experience', 'terrible', 'would', 'recommend', 'provider']",1,"['experience', 'terrible', 'would', 'recommend', 'provider']","['experi', 'terribl', 'would', 'recommend', 'provid']",experience terrible would recommend provider,"[('experience', 'NN'), ('terrible', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('provider', 'NN')]",-1,-1
74,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']",4,"['bad', 'experience', 'healthcare', 'provider', 'avoid', 'possible']","['bad', 'experi', 'healthcar', 'provid', 'avoid', 'possibl']",bad experience healthcare provider avoid possible,"[('bad', 'JJ'), ('experience', 'NN'), ('healthcare', 'NN'), ('provider', 'NN'), ('avoid', 'NN'), ('possible', 'JJ')]",-0.35,-1
75,"['service', 'disappointing', 'wont', 'coming', 'back']",2,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
76,"['service', 'disappointing', 'wont', 'coming', 'back']",3,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
77,"['average', 'experience', 'neither', 'good', 'bad']",5,"['average', 'experience', 'neither', 'good', 'bad']","['averag', 'experi', 'neither', 'good', 'bad']",average experience neither good bad,"[('average', 'JJ'), ('experience', 'NN'), ('neither', 'RB'), ('good', 'JJ'), ('bad', 'JJ')]",-0.05,-1
78,"['service', 'okay', 'nothing', 'exceptional']",5,"['service', 'okay', 'nothing', 'exceptional']","['servic', 'okay', 'noth', 'except']",service okay nothing exceptional,"[('service', 'NN'), ('okay', 'MD'), ('nothing', 'NN'), ('exceptional', 'JJ')]",0.583333333,1
79,"['experience', 'terrible', 'would', 'recommend', 'provider']",1,"['experience', 'terrible', 'would', 'recommend', 'provider']","['experi', 'terribl', 'would', 'recommend', 'provid']",experience terrible would recommend provider,"[('experience', 'NN'), ('terrible', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('provider', 'NN')]",-1,-1
80,"['review', 'available']",4,"['review', 'available']","['review', 'avail']",review available,"[('review', 'NN'), ('available', 'JJ')]",0.4,1
81,"['review', 'available']",4,"['review', 'available']","['review', 'avail']",review available,"[('review', 'NN'), ('available', 'JJ')]",0.4,1
82,"['experience', 'terrible', 'would', 'recommend', 'provider']",5,"['experience', 'terrible', 'would', 'recommend', 'provider']","['experi', 'terribl', 'would', 'recommend', 'provid']",experience terrible would recommend provider,"[('experience', 'NN'), ('terrible', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('provider', 'NN')]",-1,-1
83,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']",3,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']","['im', 'satisfi', 'servic', 'receiv', 'highli', 'recommend']",im satisfied service received highly recommended,"[('im', 'RB'), ('satisfied', 'JJ'), ('service', 'NN'), ('received', 'VBD'), ('highly', 'RB'), ('recommended', 'JJ')]",0.33,1
84,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']",2,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']","['im', 'satisfi', 'servic', 'receiv', 'highli', 'recommend']",im satisfied service received highly recommended,"[('im', 'RB'), ('satisfied', 'JJ'), ('service', 'NN'), ('received', 'VBD'), ('highly', 'RB'), ('recommended', 'JJ')]",0.33,1
85,"['service', 'disappointing', 'wont', 'coming', 'back']",3,"['service', 'disappointing', 'wont', 'coming', 'back']","['servic', 'disappoint', 'wont', 'come', 'back']",service disappointing wont coming back,"[('service', 'NN'), ('disappointing', 'VBG'), ('wont', 'NN'), ('coming', 'VBG'), ('back', 'RB')]",-0.3,-1
86,"['average', 'experience', 'neither', 'good', 'bad']",2,"['average', 'experience', 'neither', 'good', 'bad']","['averag', 'experi', 'neither', 'good', 'bad']",average experience neither good bad,"[('average', 'JJ'), ('experience', 'NN'), ('neither', 'RB'), ('good', 'JJ'), ('bad', 'JJ')]",-0.05,-1
87,"['healthcare', 'provider', 'excellent', 'great', 'experience']",5,"['healthcare', 'provider', 'excellent', 'great', 'experience']","['healthcar', 'provid', 'excel', 'great', 'experi']",healthcare provider excellent great experience,"[('healthcare', 'NN'), ('provider', 'NN'), ('excellent', 'JJ'), ('great', 'JJ'), ('experience', 'NN')]",0.9,1
88,"['experience', 'terrible', 'would', 'recommend', 'provider']",2,"['experience', 'terrible', 'would', 'recommend', 'provider']","['experi', 'terribl', 'would', 'recommend', 'provid']",experience terrible would recommend provider,"[('experience', 'NN'), ('terrible', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('provider', 'NN')]",-1,-1
89,"['review', 'available']",4,"['review', 'available']","['review', 'avail']",review available,"[('review', 'NN'), ('available', 'JJ')]",0.4,1
90,"['staff', 'caring', 'attentive', 'couldnt', 'happier']",1,"['staff', 'caring', 'attentive', 'couldnt', 'happier']","['staff', 'care', 'attent', 'couldnt', 'happier']",staff caring attentive couldnt happier,"[('staff', 'NN'), ('caring', 'VBG'), ('attentive', 'JJ'), ('couldnt', 'NN'), ('happier', 'NN')]",0.4,1
91,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']",1,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']","['im', 'satisfi', 'servic', 'receiv', 'highli', 'recommend']",im satisfied service received highly recommended,"[('im', 'RB'), ('satisfied', 'JJ'), ('service', 'NN'), ('received', 'VBD'), ('highly', 'RB'), ('recommended', 'JJ')]",0.33,1
92,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']",5,"['im', 'satisfied', 'service', 'received', 'highly', 'recommended']","['im', 'satisfi', 'servic', 'receiv', 'highli', 'recommend']",im satisfied service received highly recommended,"[('im', 'RB'), ('satisfied', 'JJ'), ('service', 'NN'), ('received', 'VBD'), ('highly', 'RB'), ('recommended', 'JJ')]",0.33,1
